Country Code,Country Name,Gender,Date,Unemployement Rate
BEL,Belgium,ALL,10/1/2002,7.8
BEL,Belgium,ALL,11/1/2002,8
BEL,Belgium,ALL,12/1/2002,8.1
BEL,Belgium,ALL,1/1/2003,8.1
BEL,Belgium,ALL,2/1/2003,8.1
BEL,Belgium,ALL,3/1/2003,8.1
BEL,Belgium,ALL,4/1/2003,8.1
BEL,Belgium,ALL,5/1/2003,8.1
BEL,Belgium,ALL,6/1/2003,8.1
BEL,Belgium,ALL,7/1/2003,8.1
BEL,Belgium,ALL,8/1/2003,8.1
BEL,Belgium,ALL,9/1/2003,8.2
BEL,Belgium,ALL,10/1/2003,8.3
BEL,Belgium,ALL,11/1/2003,8.3
BEL,Belgium,ALL,12/1/2003,8.5
BEL,Belgium,ALL,1/1/2004,8.7
BEL,Belgium,ALL,2/1/2004,8.6
BEL,Belgium,ALL,3/1/2004,8.3
BEL,Belgium,ALL,4/1/2004,7.7
BEL,Belgium,ALL,5/1/2004,7.6
BEL,Belgium,ALL,6/1/2004,8
BEL,Belgium,ALL,7/1/2004,8.6
BEL,Belgium,ALL,8/1/2004,9
BEL,Belgium,ALL,9/1/2004,9
BEL,Belgium,ALL,10/1/2004,8.6
BEL,Belgium,ALL,11/1/2004,8.3
BEL,Belgium,ALL,12/1/2004,8.2
BEL,Belgium,ALL,1/1/2005,8.3
BEL,Belgium,ALL,2/1/2005,8.5
BEL,Belgium,ALL,3/1/2005,8.6
BEL,Belgium,ALL,4/1/2005,8.4
BEL,Belgium,ALL,5/1/2005,8.6
BEL,Belgium,ALL,6/1/2005,8.5
BEL,Belgium,ALL,7/1/2005,8.5
BEL,Belgium,ALL,8/1/2005,8.5
BEL,Belgium,ALL,9/1/2005,8.5
BEL,Belgium,ALL,10/1/2005,8.4
BEL,Belgium,ALL,11/1/2005,8.4
BEL,Belgium,ALL,12/1/2005,8.5
BEL,Belgium,ALL,1/1/2006,8.5
BEL,Belgium,ALL,2/1/2006,8.6
BEL,Belgium,ALL,3/1/2006,8.6
BEL,Belgium,ALL,4/1/2006,8.7
BEL,Belgium,ALL,5/1/2006,8.8
BEL,Belgium,ALL,6/1/2006,8.5
BEL,Belgium,ALL,7/1/2006,8
BEL,Belgium,ALL,8/1/2006,7.8
